authorId,name,affiliations
145298798,S. Fuentes,
30772377,E. Tongson,
21058844,R. Unnithan,
13288046,Claudia Gonzalez Viejo,
2120099756,Xin Liu,
145688317,Anwitaman Datta,
1709901,Ee-Peng Lim,
143701176,Knut Hinkelmann,"['FHNW University of Applied Sciences and Arts Northwestern Switzerland', 'University of Pretoria', 'OMiLAB', 'University of Camerino']"
2109247625,Sajjad Ahmed,
1695958,F. Corradini,
1728262,A. Negi,
2292166946,Kishore Kumar,
2225845486,Gaurang Sonkavde,
51887595,D. Dharrao,
9192419,A. Bongale,
46610789,S. Deokate,
116853525,D. Doreswamy,
50378805,Subraya Krishna Bhat,
8552088,Brankica Bratić,
3113695,V. Kurbalija,
144395551,M. Ivanović,
51480852,Iztok Oder,
2025112,Z. Bosnić,
145508283,Daniil Kononenko,
2825246,Yaroslav Ganin,
2690172,Diana Sungatullina,
1740145,V. Lempitsky,
2068611376,N. Tran,
1830412825,Samer Albahra,
5371772,L. May,
46611479,S. Waldman,
2148536328,Scott Crabtree,
2143549636,Scott Bainbridge,
31682040,H. Rashidi,
2112820873,HaiBo Cui,
6989114,Jingjing Zhai,
49679382,Chuang Ma,
49170958,Y. Kim,
2242129,Youngdoo Son,
2821001,Wonjoon Kim,
2996101,Byungki Jin,
1716140,M. Yun,
2119657963,Bowen Yang,
4713365,F. Haghighat,
1760762,B. Fung,
95356210,K. Panchabikesan,
153446958,W. Kew,
1988489309,J. Mitchell,
2719667,K. Saho,
1383246948,Sora Hayashi,
2156211656,Mutsuki Tsuyama,
2113608835,Lin Meng,
2328680,M. Masugi,
51437071,P. Bidyuk,
28354393,A. Gozhyj,
1571154002,I. Kalinina,
9077801,V. Vysotska,
2108345188,A. Khan,
2155759677,Sania Malik,
2061506769,Muhammad Tahir,
3421647,Muhammad Sardaraz,
3447178,Abdullah Alourani,
6663691,A. Ojugo,
2252391713,E. Ben-Iwhiwhu,
1407517288,O. Kekeje,
31003228,M. Yerokun,
69934652,I. Iyawa,
46215736,M. Rigaki,
32015343,S. García,
2003406528,Yu Qian Ang,
118187689,Andrew Chia,
2096503,S. Saghafian,
2176917730,R. Gayathri,
120023248,Shola Usha Rani,
95718172,L. Čepová,
47338149,Murugesan Rajesh,
152169856,K. Kalita,
144474086,P. Flach,
2134980329,B. England,
2119900968,Yangyuna Yang,
90578406,P. Roul,
2052438769,Christian Haas,
1786901,Lotfollah Najjar,
144666716,H. Sayles,
2155384519,Fang Yu,
2134646970,B. Sauer,
2487706,J. Baker,
3433755,F. Xie,
4130329,K. Michaud,
40329126,J. Curtis,
144656316,T. Mikuls,
46182701,Fangcheng Fu,
151030607,Huanran Xue,
2157394918,Yong Cheng,
2105710451,Yangyu Tao,
2154678637,Bin Cui,
2150905424,Saurabh Shukla,
1700114,M. Hassan,
1840964,L. T. Jung,
2872282,Azlan Awang,
2115772042,Muhammad Khalid Khan,
1405052048,Bilal Abu-Salih,
1410440899,Bushra Bremie,
145036570,P. Wongthongtham,
2153849107,Ke Duan,
3044274,T. Issa,
10939631,Kit Yan Chan,
1410445592,Mohammad Alhabashneh,
1410415538,Teshreen Albtoush,
51464567,Sulaiman Alqahtani,
2057134706,Abdullah Alqahtani,
73774023,Muteeb Alahmari,
73771362,Naser Alshareef,
73773430,Abdulaziz Albahlal,
2071649,A. Schwaighofer,
34954622,T. Schroeter,
2459012,S. Mika,
144389029,Julian Laub,
14270207,A. T. Laak,
2380180,D. Sülzle,
48613937,U. Ganzer,
34305015,N. Heinrich,
145034054,K. Müller,
48826229,N. Padmavathi,
2302301,A. Chilambuchelvan,
145222782,N. Shanker,
89662712,M. Kumar,
80781121,K. Koushik,
153145089,K. Deepak,
51064939,M. A. Dedmari,
2546103,Sailesh Conjeti,['Siemens Healthineers']
2066225760,Santiago Estrada,
153729361,Phillip Ehses,
2399455,T. Stöcker,
35768029,M. Reuter,
50843246,Felipe Oviedo,
4258401,J. Ferres,
6018731,T. Buonassisi,
145688845,K. Butler,
1679683,D. Plemenos,
46813889,G. Miaoulis,
2099082380,Nikos Vassilas,
2116673321,Wenhua Yu,
50341052,Shanshan Li,
1928555882,Tingting Ye,
32830792,R. Xu,
2151077,Jiangning Song,
1720884,Yuming Guo,
2146018586,Lin Liu,
152113419,R. Mukherjee,
145607066,J. Robins,
144692532,M. Giger,
3013302,Annibale Panichella,['Delft University of Technology']
1968667,Cynthia C. S. Liem,
153129944,N. Xu,
40379348,H. Askari,
2145433186,Yanjun Huang,
2146367838,Jianfeng Zhou,
2399696,A. Khajepour,
2065374889,Jan Kremer,
1403609009,Kristoffer Stensbo-Smidt,
3170341,Fabian Gieseke,
