paperId,referenceId
0002445efaf70f4d1c83d693d62cc10972d5869b,1d7a0858567d2b4dba400b862f71af4e7bed4f38
0002445efaf70f4d1c83d693d62cc10972d5869b,e293efaa654f7d726d9f141cd18351bd06418176
0002445efaf70f4d1c83d693d62cc10972d5869b,1aaafd9a851d4c95afa9978caf0f7e7a9ec7a33a
0002445efaf70f4d1c83d693d62cc10972d5869b,a690b34872dc600cd0a668aaa39c8052828c6a83
0002445efaf70f4d1c83d693d62cc10972d5869b,46e9229e660c66286dc7e00e8bfdcc57927ae843
0002445efaf70f4d1c83d693d62cc10972d5869b,29c9606b353d91cb0188f75a3dc0ffb26c69bc74
0002445efaf70f4d1c83d693d62cc10972d5869b,e9d0c174b43c8b27f011f91d88db9a0cd64427e2
0002445efaf70f4d1c83d693d62cc10972d5869b,16a8ef6d471c08020099b53d220c27c532e195b9
0002445efaf70f4d1c83d693d62cc10972d5869b,79b4c5033cab81a9f1cd28aa8579b82335b27601
0002445efaf70f4d1c83d693d62cc10972d5869b,0b2be2a735bd716657d424428fdb7ba63e748786
0002445efaf70f4d1c83d693d62cc10972d5869b,ba4d1d97e02d23b2515effbfda55a5b2f8ba90cb
0002445efaf70f4d1c83d693d62cc10972d5869b,306da5d03c3b34dc3e9a64d811e8756e89be1139
0002445efaf70f4d1c83d693d62cc10972d5869b,4e2936140f4c6c1b7538e02d0724271d0c2423a5
0002445efaf70f4d1c83d693d62cc10972d5869b,9c5a89bf952817d35d95b31defd9b4ec40b97b22
0002445efaf70f4d1c83d693d62cc10972d5869b,b7be80936aeb284005b8cc9b09f517e3af6cd436
0002445efaf70f4d1c83d693d62cc10972d5869b,dd1cdcf3b1e34f3ca890de13bead9519a102ddd8
0002445efaf70f4d1c83d693d62cc10972d5869b,abc88a5c3861d182f38b87337c9adee4b7c1598f
0002445efaf70f4d1c83d693d62cc10972d5869b,a19dfaaccc5c0445e5b58be4a9e466c258435ff8
0002445efaf70f4d1c83d693d62cc10972d5869b,1aa10441dba2563fbca5f4583c0934d822c0917d
0002445efaf70f4d1c83d693d62cc10972d5869b,f344ed0500ca6d8261c76405a9e08f86c1e995d7
0002445efaf70f4d1c83d693d62cc10972d5869b,3931bd858dd0527edbd59bf5a6ab9bb9bc472c5b
0002445efaf70f4d1c83d693d62cc10972d5869b,7d226dcd6ec81b913dba7a971767f63e7bf9ddfe
0002445efaf70f4d1c83d693d62cc10972d5869b,77ff0bb96b1d085fe284c0a5d87d1d109001afcd
0002445efaf70f4d1c83d693d62cc10972d5869b,a0155c2d2d69db4e2bf5870fc9be9b0adecdd9ee
0002445efaf70f4d1c83d693d62cc10972d5869b,ec43b3356418f401d8551dfc0d7a933592ba069a
0002445efaf70f4d1c83d693d62cc10972d5869b,8bcc7712af38758699f5c8fac4b8288849388e0a
0002445efaf70f4d1c83d693d62cc10972d5869b,eb0ace032622fafb5e6ee1d5e9afded892764751
0002445efaf70f4d1c83d693d62cc10972d5869b,dbbf36566eb6b5e67804135fe15aa82db2bcfa8e
0002445efaf70f4d1c83d693d62cc10972d5869b,be8f851ec00bd1e35d633abf8b7e25da4122aa6f
0002445efaf70f4d1c83d693d62cc10972d5869b,33d515eb2e7e319f02b6600e2a27c77a3c8e9a79
0002445efaf70f4d1c83d693d62cc10972d5869b,9ee1093e62c0d76fc80d58dd4c9ce8d272736079
0002445efaf70f4d1c83d693d62cc10972d5869b,8aee1b45c05859e0f26c01aafb3258c6435af067
0002445efaf70f4d1c83d693d62cc10972d5869b,92d42b608432661c5a5c7aca9e1aaee68744cb45
0002445efaf70f4d1c83d693d62cc10972d5869b,2a66bd8ffbf9523b44f966d089cf678efbf2f94a
0002445efaf70f4d1c83d693d62cc10972d5869b,bee359c27c74fc1b9f3f8de88fadf57ca09bc96a
0002445efaf70f4d1c83d693d62cc10972d5869b,60bbd9bf1daa72611a058a66b66bbe02c8e9cd6d
0002581b613fd91a76a1c188a7d1d6a8174a03b7,c2eec0ebd770d78e95874e7b1176560b80586b35
0002581b613fd91a76a1c188a7d1d6a8174a03b7,671a2917cd270f038bc72d1c13a4fbaf28af7200
0002581b613fd91a76a1c188a7d1d6a8174a03b7,a0f8945a615f62a65b5ab1944e4d825a4f01d065
0002581b613fd91a76a1c188a7d1d6a8174a03b7,7520292cafbd27bbc983ff5a86074e1542ee7bb4
0002581b613fd91a76a1c188a7d1d6a8174a03b7,0fffa9cae1a6c4ab52510c1eee9eef142dbc34cd
0002581b613fd91a76a1c188a7d1d6a8174a03b7,0ac2501377dce919c73234fa8a31b061de416000
0002581b613fd91a76a1c188a7d1d6a8174a03b7,e94f98b7d5f3718ed3ab83d3c73ecb8b800f45eb
0002581b613fd91a76a1c188a7d1d6a8174a03b7,b6d70830449d11003243e0a3821aa878967bb8cf
0002581b613fd91a76a1c188a7d1d6a8174a03b7,5aaf5225d479c94044c89e5d3b9e65e8b0e1bcd9
0002581b613fd91a76a1c188a7d1d6a8174a03b7,a821f7deb60c579b2cbc3021fc78bf88dd314d3d
0002581b613fd91a76a1c188a7d1d6a8174a03b7,b5342f9483279033c753058b895bedde4636f1f6
0002581b613fd91a76a1c188a7d1d6a8174a03b7,9b737e8c56587f9cca3ed871d035c0d9b36cb806
0002581b613fd91a76a1c188a7d1d6a8174a03b7,3bb05d133d71dfcc4684b3848c4fa0829975bf4d
0002581b613fd91a76a1c188a7d1d6a8174a03b7,f9f22629812ee66a9a20704c07c681f070144e1d
