paperId,referenceId
000448a1884677a01b785884f7c7a1f1ba62e705,514443b4a4f88d73a3c9d85e02c2a73733029c8f
000448a1884677a01b785884f7c7a1f1ba62e705,928af7b6feb00482261f9d8437ae14886263c6de
000448a1884677a01b785884f7c7a1f1ba62e705,44cad2a8105953b882b08947f3a8609006d4f97a
000448a1884677a01b785884f7c7a1f1ba62e705,bd2a38ef08b475fe9724146dff9e4d61c8c64987
000448a1884677a01b785884f7c7a1f1ba62e705,a7c733b85dc1cf2a926da9d0d4e66aecd312325b
000448a1884677a01b785884f7c7a1f1ba62e705,00c287cc674c9dae1e5509c508bdcaa007384333
000448a1884677a01b785884f7c7a1f1ba62e705,c42efe6dec92d48227f4cd67c96bc18cbad8c3a9
000448a1884677a01b785884f7c7a1f1ba62e705,7eda13847b477d6bff33a0c6a83f2e098cc836be
000448a1884677a01b785884f7c7a1f1ba62e705,bf97653c065591cc23324b1ff5ddac020be67b0b
000448a1884677a01b785884f7c7a1f1ba62e705,6e619bdd6185b59dea3eebdbf865c3512f513673
000448a1884677a01b785884f7c7a1f1ba62e705,acb4f148eac7e7de7860a834c0b87e3b3314bafc
000448a1884677a01b785884f7c7a1f1ba62e705,2b8eafa37922199a9e30914324e51008f2b46182
000448a1884677a01b785884f7c7a1f1ba62e705,23a9e682e8d0ba020771b5ca7afd7a0da455709b
000448a1884677a01b785884f7c7a1f1ba62e705,2dc1ca6de5226042d9b3955f51bcde74d2c4e844
000448a1884677a01b785884f7c7a1f1ba62e705,26d06a2eb28860f59806d64807999950440e6f3c
000448a1884677a01b785884f7c7a1f1ba62e705,59005b3b7ab865c56a5d66c98b2bed3f17168625
000448a1884677a01b785884f7c7a1f1ba62e705,0a849e4d921de91d7bac34a12ad530c2c586c606
000448a1884677a01b785884f7c7a1f1ba62e705,9cfe290ee1465819608e0bd636067021ef7911ae
000448a1884677a01b785884f7c7a1f1ba62e705,5a678d6f242d4da8c1ca16f53f500452e9e052e6
000448a1884677a01b785884f7c7a1f1ba62e705,72daf125f4e971438ed6cf8c29d86c0ed20da9b2
00289a92b1b2c0efdf10f603c8aec86edeaf3e0e,54f66e8c01a6fb40ed206982368a2f2fe09d2172
00289a92b1b2c0efdf10f603c8aec86edeaf3e0e,2fad46b989d6e4c543bf295ca7e7f02c679b9eb9
00289a92b1b2c0efdf10f603c8aec86edeaf3e0e,4b531a561e32266e98ce5474d25678118fcb5282
00289a92b1b2c0efdf10f603c8aec86edeaf3e0e,7b4b74f44f15273082a5faee5085af5481ec5c2f
00289a92b1b2c0efdf10f603c8aec86edeaf3e0e,8a40fb3ad73232f57eba1a05a03cc2f3cc96f377
00289a92b1b2c0efdf10f603c8aec86edeaf3e0e,f33547097c2d5d4bcd48fdfc55915c0d34b80258
00289a92b1b2c0efdf10f603c8aec86edeaf3e0e,f695f846ce3924cebb9212013dc6a470fb938a58
00289a92b1b2c0efdf10f603c8aec86edeaf3e0e,d87470ac1575ae00e38869b465ed6067b1c953db
00289a92b1b2c0efdf10f603c8aec86edeaf3e0e,950a0430e457724026615005fca0fab045cdf591
00289a92b1b2c0efdf10f603c8aec86edeaf3e0e,f265ed79268bbe366d03faa73d052a1bed5e1df5
00289a92b1b2c0efdf10f603c8aec86edeaf3e0e,e4f85ba2c6f70f756433922f8b8ea963be1adcb4
00289a92b1b2c0efdf10f603c8aec86edeaf3e0e,3d1a61690287eeaeaaf0ac20f2cc0b8c2098b8d4
00289a92b1b2c0efdf10f603c8aec86edeaf3e0e,ad36e6c16ebba99e6c9eedd95c6c685402762129
00289a92b1b2c0efdf10f603c8aec86edeaf3e0e,c2fa26644235ff6cad3486bbb6923cbdb4e77ad9
00289a92b1b2c0efdf10f603c8aec86edeaf3e0e,4f9bd6bfc798acb6668d49e3ef5df05398f54406
00289a92b1b2c0efdf10f603c8aec86edeaf3e0e,897308b536b70bd3dce8f0d9a3b0fe6655a96eae
00289a92b1b2c0efdf10f603c8aec86edeaf3e0e,d70342ea87ba35c4b3d278cbd923901c44e93756
00289a92b1b2c0efdf10f603c8aec86edeaf3e0e,374bba8fcdfa36533143298fc2d7b172cf216424
00289a92b1b2c0efdf10f603c8aec86edeaf3e0e,e50867bf19c0fbc924e5d968441b8c2f1033d150
00289a92b1b2c0efdf10f603c8aec86edeaf3e0e,e62403297ffd3342ea4210e3094dfdb9d577a6df
00289a92b1b2c0efdf10f603c8aec86edeaf3e0e,ca0175f7cde380e86a83d3f495db7ff0aacb393e
00289a92b1b2c0efdf10f603c8aec86edeaf3e0e,b0ed2bd262f7ba192c13f2a4c432366bbc222bd2
00289a92b1b2c0efdf10f603c8aec86edeaf3e0e,63547b5a512b11ab7ed875fc70eac071111f6398
00289a92b1b2c0efdf10f603c8aec86edeaf3e0e,dddf0379ba164825733f7bd81012e10877348027
00289a92b1b2c0efdf10f603c8aec86edeaf3e0e,
00289a92b1b2c0efdf10f603c8aec86edeaf3e0e,beabd8e285d6cd462eb11638fe54d4cbbb95f08d
00289a92b1b2c0efdf10f603c8aec86edeaf3e0e,ccc3f4284c602608e6dcced977bfeda59fe8973b
00289a92b1b2c0efdf10f603c8aec86edeaf3e0e,fc5ee6a5511811017a2c4350ff38fa41de4d4988
00289a92b1b2c0efdf10f603c8aec86edeaf3e0e,
00289a92b1b2c0efdf10f603c8aec86edeaf3e0e,
002a34fe206c72be5b2d5a9d9d0aeb98b780ae54,c71fca09efed1d7da59218321b78cf0fa95d22b1
002a34fe206c72be5b2d5a9d9d0aeb98b780ae54,6abdb417047bd392303f02a533a08dd6c55c109e
002a34fe206c72be5b2d5a9d9d0aeb98b780ae54,75dafc750e9e55383afd50e83b67ebc47fbdc403
002a34fe206c72be5b2d5a9d9d0aeb98b780ae54,8ee90a34b6e891ba883cc84b43ed02a2c2cb312f
002a34fe206c72be5b2d5a9d9d0aeb98b780ae54,8ac53c05912fbbe2573ddf2209dfb2bb861ef437
002a34fe206c72be5b2d5a9d9d0aeb98b780ae54,cf99f546df59acd0afc3e74be355fbf40dec72c9
002a34fe206c72be5b2d5a9d9d0aeb98b780ae54,6bb2a2f2cc2f254d5b74f59f2af04f2ba9c5a656
002a34fe206c72be5b2d5a9d9d0aeb98b780ae54,066ad500731fadc67ca0b66b907029b14aff86e2
002a34fe206c72be5b2d5a9d9d0aeb98b780ae54,6e3391707851b435ff445c6cdb21703dd79dee2d
002a34fe206c72be5b2d5a9d9d0aeb98b780ae54,e45f243c3ef45d97a70ff3cecea50bba5293b552
002a34fe206c72be5b2d5a9d9d0aeb98b780ae54,746d5a8b27eba574b39a7b2605c48f8873c21f5a
002a34fe206c72be5b2d5a9d9d0aeb98b780ae54,
00341536a49a7823baaa126271afea88f95996c6,a2a932fb6437cb452fe4360419ea2374f2d59343
00341536a49a7823baaa126271afea88f95996c6,76c62d10f40653ba4f548b9f411fe886967c216a
00341536a49a7823baaa126271afea88f95996c6,cfe0e597dc3775760af7aff6503d57e3899e90aa
00341536a49a7823baaa126271afea88f95996c6,19cf6cc856525d4b5afb7c75b975cc13dc64b176
00341536a49a7823baaa126271afea88f95996c6,d215c195ad52200f910788e163f05854dac7f358
00341536a49a7823baaa126271afea88f95996c6,447346f6a64f4fa1d5cff094b371c205d99bd07d
00341536a49a7823baaa126271afea88f95996c6,c63efde06656d160a0874066e2d77b5296877c28
00341536a49a7823baaa126271afea88f95996c6,01cd3ab37f5adfee1e3f88564d4edd7e2fefc996
00341536a49a7823baaa126271afea88f95996c6,d840f7bfba6143c02442fb01525dcb2f7bd7dd25
00341536a49a7823baaa126271afea88f95996c6,b7c8f7f9ed374727a82d02973e25cc490f1a58dc
00341536a49a7823baaa126271afea88f95996c6,03bb0fc8af636713dcdfdaa12ae272b9b1a8c003
00341536a49a7823baaa126271afea88f95996c6,873c4dfbd73b633b2fe3b9cbccf7af9cc08c1b3f
00341536a49a7823baaa126271afea88f95996c6,516fbd689dc30acb6599be6c6216221d1a7029aa
00341536a49a7823baaa126271afea88f95996c6,03c85daa7f97eeae5df8aa9ebc5e0b6249a68f9b
00341536a49a7823baaa126271afea88f95996c6,f9034f67287f54096aea5528627bb23d293bd756
00341536a49a7823baaa126271afea88f95996c6,d425c9e98218bd79a067b4402aae3cec7290bab2
00341536a49a7823baaa126271afea88f95996c6,6e8d2f64b4366b20f19ae31d199077ca96cfa852
00341536a49a7823baaa126271afea88f95996c6,e5649ce75e2220c261b48e49aaa7128386d79331
