paperId,referenceId
00047d82dc7ef0bf50de0f6bce12441290abe9c3,32c0a49ab20e6d110827a926656f6cc62395324f
00047d82dc7ef0bf50de0f6bce12441290abe9c3,450e4e8b324d61c84a9bb9e5f52a61d2b2a19c26
00047d82dc7ef0bf50de0f6bce12441290abe9c3,a82e21d4f57e47d8243c482ba9b48c3060d86370
000b5503bb861d81be9f8693c8d20975a543e4c1,91a863eef7242efd72fe27b413891e1372dc6aaa
000b5503bb861d81be9f8693c8d20975a543e4c1,73dd8f1f38a866da26d2c7e202038d26b901c504
000b5503bb861d81be9f8693c8d20975a543e4c1,874b9debd1b28dc75f288820c7921a0c6eb98819
000b5503bb861d81be9f8693c8d20975a543e4c1,40aacff1129a3b0f3ab9a9c5e8b7aae1b89e7d59
000b5503bb861d81be9f8693c8d20975a543e4c1,ea68076c8d2f8c831fcc057c1733bb1892c87336
000b5503bb861d81be9f8693c8d20975a543e4c1,b5671893842357f623a7f4bce2cb2cdee0cf659f
000b5503bb861d81be9f8693c8d20975a543e4c1,1d7c999cf0683628da2e41c1ff04e1386804d0a6
000b5503bb861d81be9f8693c8d20975a543e4c1,9b2e3338cf843a1ec984421102b6f0d10e85378e
000b5503bb861d81be9f8693c8d20975a543e4c1,30198e8e3edd62674d3bf5759d3bd0178891e012
000b5503bb861d81be9f8693c8d20975a543e4c1,14adb7db0be26003d2ae673711e875646ebaad70
000b5503bb861d81be9f8693c8d20975a543e4c1,70ae6db98bfa128f9e03039484206529d56ab8f5
000b5503bb861d81be9f8693c8d20975a543e4c1,ba50c72e64efc52d1936471dc41d2fe481eb580f
000b5503bb861d81be9f8693c8d20975a543e4c1,9a7eee2c25c52c4156311c6a50f79a31f7c7c933
000b5503bb861d81be9f8693c8d20975a543e4c1,9eac4d16b7933600f18cc145fb9d2d82dd1249d2
000b5503bb861d81be9f8693c8d20975a543e4c1,ae5ff142e0dfee6aaf1c346b2851099097defa76
000b5503bb861d81be9f8693c8d20975a543e4c1,017dc0cc8b19c6c53785698ca9837ecbf750e452
000b5503bb861d81be9f8693c8d20975a543e4c1,c93fe35d8888f296a095b906cca26ffac991aa75
000b5503bb861d81be9f8693c8d20975a543e4c1,280e400ad2d8e1073c042f0dc7f5176fd4178eef
000b5503bb861d81be9f8693c8d20975a543e4c1,2551f1d78cb65a22be4a6e8e9336aa0580bc7b4a
000b5503bb861d81be9f8693c8d20975a543e4c1,efcf258be38fffda83e78915e5dcecc17a779bb3
000b5503bb861d81be9f8693c8d20975a543e4c1,076d6e2a35f702ccca0d60e1237ff56bf0255600
000b5503bb861d81be9f8693c8d20975a543e4c1,821cafa0e2c08e361c14b30ce56786ef132c9c39
000b5503bb861d81be9f8693c8d20975a543e4c1,e453bf8284b866d550ed23a80618fcd2ccb451b5
000b5503bb861d81be9f8693c8d20975a543e4c1,ca1752a36ffe8b9fe8c4cb133a69bfbeca80a98d
000b5503bb861d81be9f8693c8d20975a543e4c1,6541dc3ed3579e333a9aa4b6ee858076ab4e06bf
000b5503bb861d81be9f8693c8d20975a543e4c1,28ea33a5d328c9801f05830aa5af0822081ebc05
000b5503bb861d81be9f8693c8d20975a543e4c1,13097d3f2529605f8845a19d2c74f4fd7dee6bf9
000b5503bb861d81be9f8693c8d20975a543e4c1,00b8f6b12c4941c3411aa2c519db193b44a0500f
000b5503bb861d81be9f8693c8d20975a543e4c1,4c90cedbd264b95a686b80dd0f14d3353682a372
000b5503bb861d81be9f8693c8d20975a543e4c1,bdead423789e1e8911ae13e5b68a3e7230632fb6
000b5503bb861d81be9f8693c8d20975a543e4c1,164913bbe8ad3b0c2965ceff37b20ff8a08cf414
000b5503bb861d81be9f8693c8d20975a543e4c1,2dedb17c6514bf9ad4fdb499e4fb0bf7ef2937fc
000b5503bb861d81be9f8693c8d20975a543e4c1,57b26fd777baae4477f76eedfdaf34b98abde715
000b5503bb861d81be9f8693c8d20975a543e4c1,a6d1ea645d272cfdf684d680a8d68874c5f4e0e1
000b5503bb861d81be9f8693c8d20975a543e4c1,efd8d6ce22ccd8b69e7adfc63dc332bfe5e103dc
000b5503bb861d81be9f8693c8d20975a543e4c1,1c2452d4f13ae6c7a29094ebebe0591dca268f6e
000b5503bb861d81be9f8693c8d20975a543e4c1,abb691cf3476f010ca1d19508e8ff637af811b87
000b5503bb861d81be9f8693c8d20975a543e4c1,67a6cf4924ecef05ffc8f4a5a767126d73b4ca14
000b5503bb861d81be9f8693c8d20975a543e4c1,19013b7db8681991d942feeac787b2440514a992
000b5503bb861d81be9f8693c8d20975a543e4c1,d4b11e1941e7eeccaba6e6784ec0bcd9727b0a93
