paper_id,ss_venue_id
00047d82dc7ef0bf50de0f6bce12441290abe9c3,a44f7eaa-97ea-4382-abae-2bb8d889cdb2
00387ff66037fcb5a08bb70de575eaf03c72227c,5c27812c-8311-432e-b20a-7fa63e234e88
003be0a766f766ca48087dd8838914be43fe88d7,32b9a6a8-7794-467c-bdd5-38b4b4107898
00595d0af4372e904d3de81bd546d33be81202f1,632c6d05-019f-4296-8a4e-842e860ae5ca
00aa71f14b06003bd31f47889431441202543266,00243ef3-ede1-4f99-af75-bdb5039c07f3
01007e83112368ddc4e36a9fdb8521486e91c350,e0e22bd9-6e09-4b08-bc9e-fc775310a010
016f7a076ac272db106fbcea056752c7307f676a,8987b394-48d2-4f43-bf9b-6971f5c322b8
0179b6375a1078565ccf4ac4ca7fc6b54b44dbef,a59cbb96-d2cd-4213-994c-650601fc632c
01b0e407c0c358873b0cf1e1d5a41eed0d2cc01c,e872d323-5cf2-4cb0-a335-e55680cf0995
01d9dacb374bc1be24ae3a09674653bfe2fff48e,0b12c6b0-2e2b-48fa-b5f8-e11fc97e5f83
01ded5f1804def61bd163b9f3a5811c84d18c632,c62fa7ca-6854-4348-ba25-733aab38e9a6
022bcf56d5bba8e759f5d6b7e7c1fa9692625b11,b2c3217a-bd16-4415-9d21-55d86ab3bc7e
0238bbaa9e69715a5ade09bf2ed18fb4936dacd2,32b9a6a8-7794-467c-bdd5-38b4b4107898
0316b58f9b384c612b9b384d62f340e788e5981b,65e7448f-1578-45a5-8833-4932d0bed3f1
0366cec2f0b4f9f65f462d0d0014e59c78cf0d2d,a2f738f0-57d5-4a05-91ef-eb914f7297b7
039f88886b338ef783589e4f9c5be4fcde0ceb84,a44f7eaa-97ea-4382-abae-2bb8d889cdb2
03dcb3ce33441428f616f998d78a9d72abb8fdce,18b92578-6390-409e-a593-0f44ddb9fc6c
