paper_id,ss_venue_id
00052e94baeb2c8ae7ca42411e6e118dc1ec28a7,b446bbfb-c88e-4cbd-bc4e-9eeb0a75760c
0006e1523b9847df5a5f9eefabe0d3b8ad6969da,a3383acf-f1ca-48b9-8740-85dad8561db1
0008cf0302341973af4849748bc78fafa5a149e6,ba7d08b1-42b3-4601-84c3-61441319137c
000b7f27388141e1075e672d0624d9583de1168b,d1f96198-554e-402c-8e45-584cd9b02bce
000f5ec278514e6eb2e1fa91ac47aa866cbff31f,850fc070-bb53-4d7e-87ef-5e94e6f107de
0010269b68249b8acc5720b277955139a402679e,dcd56d29-6feb-4b39-b969-74e48c1e9dd3
001262bce617971b63c284176fbe33165c895c42,01344f52-6324-42d8-8a68-e00bf2e00ce6
0013e20de3a8723df646f940b41d630bc1e894e8,12435c5f-1a16-4ac3-a127-193487a388e6
0015db5f4518d7787f5efc66b7cf5ce6fb292faf,45c7ef3c-e436-428b-a856-c8d5b31b603b
0015e741acc54cd91fbcb0646b49487ff721db4f,f99f77b7-b1b6-44d3-984a-f288e9884b9b
0018e56685420f74810b8b39cb90078938f4ac1a,850fc070-bb53-4d7e-87ef-5e94e6f107de
0022da27415cbfb97dd40a86bb8e20c0785bca01,850fc070-bb53-4d7e-87ef-5e94e6f107de
002624169415421f743d6750309362c0f274f4c5,eed6c5ed-9ea5-4b19-8911-675b033a51dc
002a04890e67758ae4134a6bee6605ca77c81330,cf1ee3fb-2199-4159-85c5-2fb7dbf149ab
002c4d81ed650c7cd9aac565f2b5b9a50671524f,5c67bd81-6372-4a5c-944e-9cf0e6c1f00d
002e4020bb21aa4d1a014dfbe159f62101589c55,b3c35768-4e91-4e28-80ef-de14236e8c15
002f88818660761c29634a7720427290e9cea278,4193a393-c091-455e-858d-3d2c151b52b8
002f9a22ae30b07c73bbfd96fe99f350890c8c0f,70ef2102-0434-485e-80be-0125e0230420
0033084e59a1750dc15586d197df04706d17ff49,4193a393-c091-455e-858d-3d2c151b52b8
003338444cde1ef0033fe556e6c14236e2bfe451,9efb20cf-7484-450d-8245-12dfbf639d3e
0033d41e726ea6613508477b926cbcd76d2c499e,cf0ec57b-6d06-4a44-82c1-6a19b501b575
003a87ae4771c7fe5d3ad055e17f96464fefbb39,370b3595-8823-4619-82f9-dce46445a8d7
003a883b4226ebc5b13afe08e89f89a628c3361a,c6ca6024-34ab-4772-9012-f1325ff84509
003ebe98f86801b42a44e650aa94605e1b27e5f8,9efb20cf-7484-450d-8245-12dfbf639d3e
00443e336626e8d526bb4f9395139cc7401e1d47,4193a393-c091-455e-858d-3d2c151b52b8
004542a6deb40def1cb8c08cc57ef83a2bac978a,9856035c-170d-4e13-81d2-6f84cb5aa166
0045f50679469369a99fc1c438c7c7e101151f2c,72cc6474-a775-4c22-823f-3684c7ef79bf
004778dfb779275f268bedb17eb587162ac6579e,a60180c7-29d7-42fe-9523-3112be85aae3
004cab2fcde9787c0a0961c42d7ebc15603a302e,07be6afd-ad24-4e8f-ad9b-8f87c438e56c
004de408044165abec4fa536d86c8f7889c9b607,164cf9d6-c9e8-41f0-b15d-00fa34cb4bd1
00511746c9e425ff833ff5b54d8cae8337340ff7,ec86332d-2108-4f24-b4fa-0d87b28ac716
005267736d5d88db493d0ce5785dfcbb0216e46e,59eaa32d-b026-4d64-beaa-c422bc2629ed
0053048fd81ef3c1511c28a71b37afdb8376cb0e,aca0f17d-1dc6-45fb-bd6a-4e3d3683d487
005566373ae8d2140c5718f424029b4107325fad,41300b04-a370-4ee5-a1af-774aa1b15f63
0055a0294739ca1021565dd40bad376dea65507c,4193a393-c091-455e-858d-3d2c151b52b8
005a12eb403d8e822ae58fec971463fe6ecb036c,7270e188-d479-4233-b457-1d07288baaef
005b294d4c340b38a1fc3490272cc08bf8d364ac,439d70ad-d909-4791-bdc6-dc765447bd42
005de59f66e35b75e08dbdbfb2fd0f32a9616bfc,73abc92d-d5bf-4860-93fc-64c15e28aeec
00638ad7ab1b5937a4a2c9533cd0be8d84b1c5d3,b48df573-d15b-4819-a8c9-f24657214cf0
0065145e2b1fd9b8289dcb1641c475928df50989,f0b22ef1-bd07-406d-af9d-895813044151
0065f8de1aed9a606717497306f4f59b32ae2f61,c6ca6024-34ab-4772-9012-f1325ff84509
006ca4ab099b9e054b0b0b8c89fe468b03a3d3d5,f59506a8-d8bb-4101-b3d4-c4ac3ed03dad
006d1971e056495754c2f163552b273d8713e642,59eaa32d-b026-4d64-beaa-c422bc2629ed
006e2fe67faaef82805254bed9264616ec5fcaad,f99f77b7-b1b6-44d3-984a-f288e9884b9b
006e5a385f69285f5106c8e10cf12fe68343f1e8,f203841b-b8c1-4201-9674-a95d38516fdf
00730f6d97a16cd660551caecec12cf097db9161,850fc070-bb53-4d7e-87ef-5e94e6f107de
0073ebf8ae99850bcaea71c9696903f5ec7532ab,3743471a-26df-4c43-b07d-ed5be57cadba
0075c8183112a583fd2fa5c9f2aaf4af7f71b452,c6ca6024-34ab-4772-9012-f1325ff84509
