paper_id,ss_venue_id
00016c13b9293df088f11c960cbcbb078d036f68,e2f6a3e1-fd2c-4640-a0bb-517154d3cf7e
0008a054bab1f92b4fc74e3514dd0a3ecb908ab9,0aed7a40-85f3-4c66-9e1b-c1556c57001b
0010fc6b0cd908b83de060eeee2053f975349843,a9e7562c-5d40-4bbf-9540-d3bbf600f843
001306e6c9904cd48580751f256d75a89108d09f,68bcd9d0-b9cf-469d-9206-b4409c150eeb
0015aa8df9a800f517e08fd58b09f419a0514e89,23a7982a-165f-44e8-9a67-5fa900791770
0017d39b369eb2c2bb29ebe26d693660960c46a8,7b492226-1473-4547-ae61-93b13272f6e5
001d09e8af44add0dd056c4c1d7a57f41f9ef1db,e110cc75-cd00-4b7f-968c-fd70b464a553
00200a65782aeede0a2c9a767959c963ef39563b,e83c720f-6ce1-4fa4-a544-58ef88538446
00220fd09d7eb9c4c0ee4150698e7d4d43beee54,35701a9c-bbf0-48dc-b213-1d6fc3b396c2
00222fabce4c14e11b5e44751d9f9426528d0755,1b544d9e-6d67-4161-91b0-c364925912c2
0023189501ffe8f08eb0de56fa29b247c4271668,4fef92b3-4165-48b5-a100-5bfca7c641fa
003397ddae8a75f5231c2e20622640ce7ab6983b,3304566f-229b-495c-9929-f135e9a6ccd4
0033e5cfc3d586fe60ae5e96c671052b202d7768,3b438704-c051-48f5-b845-623aaf356acb
0034975a3bfa63ddd2ef439c7fcd6dee6b7d32b6,bb95bf2e-8383-4748-bf9d-d6906d091085
003bd60c7280b9f66f4d39d530e029433f7320ae,950b7e5b-1c37-4fe3-ac77-f54abb51af74
00400754a40f457b4fd30c0e18666094ff2a669a,0bd8d626-d268-4b9c-95be-093ab38a2af7
004840c33314b470e93e0fc37e3c05f00b9fe2be,6c24a0a0-b07d-4d7b-a19b-fd09a3ed453a
005010cdfb345f781afce2ace228d7d970cde970,48753cdc-9611-4251-acb9-c7880e7f6265
0052253fb4cf1447c66af807195d3d617ee8d577,dc31f077-7737-4e33-baa3-bceeff44ec27
0055674d9867a3a3677859de9546a1f77dfa01e0,f59506a8-d8bb-4101-b3d4-c4ac3ed03dad
0057abd891b5e4f0c4c2970f84d636a28f095d97,dd627ab5-e30c-4f0d-b7d9-7faae870f6f0
0057f3b34d1abf9a4b815eae91955914837060b2,bf8c915b-282b-4817-987d-62e47e42d5e1
005d28705ddefe1873055cf194378f8ad27559ff,c1f46719-4051-47ee-9b7b-443075d4de2d
0063d39cb09d1d7a8b5feffda544f80e009f7fe9,867c09f0-dfa2-47ef-9fed-fcbc15a17aa8
006437f98c7818645467d1dcda64e197fdf127dd,e1eeb2ba-5a29-470f-909f-ff82c50fd98b
0065f75614732b504aeaa0e664a5100884b1f0ad,ad3a4c34-65d5-45aa-a32d-6230ac20ea80
0073bdd92c5b1486db4b19c66fe00463cb561bc3,9022e356-13cd-4b20-b9c8-b71402126832
0075f3f8d53679b4ec3595082c55de12c2236499,e24353f5-13a9-4d82-8e33-329cd22634a0
00828943b8b7477e432848f88ba1ac114520afc0,424be4c6-0550-4f1d-91ca-08f8ef523c47
0082b2d0273900c566888eb0acb8084e6663642a,89483984-6e6e-463c-bd27-587def1b79ee
0082ebfcdcd10a33546549dd4b01d61c0839272e,601546f2-48e6-479a-a9c6-96df2e0ddb1e
00899b1c09101c964e8ddd19036eb4287756589e,82294536-5da3-4a84-92fd-43e893d870ed
008b0e91fbd3cf2cb07aa7cda25251595ec22fc3,8de097cc-b9b0-4aa3-8ab6-f630df59cf81
008bf0a1fdfc8b31599cf2fc8fdd9781e0fa90b5,52e52381-3a21-433a-9ab9-1f3fcd40e267
0095cacf4d91c8c0e0119e78cdc718226c0b4888,85f8257e-af0b-4aa7-bb28-e6cedae34c43
00a035c1d94f346e3ac35d3cd819c0c833273931,fa1f0815-0811-4291-b4fc-8230a6c9bf5b
00a1421c3eceaf47291db139fed1afbb91d788d0,1d2c294f-5435-4adc-84d0-cd6903a42990
00a41496434598eb29ebb233bc4950f5eb9be4b0,a360cd20-21d0-42cf-a0af-2f14e10514f0
00a8b40623cfe01238fdfc784d1fa6e727976d91,3c1669b9-df02-42cd-9197-61f2bd8afddc
00b50a70fd720070dd4f0f654d775c19bb21afae,6a8eb012-b76c-4be3-a7f6-25fb07fa9821
00bbcea4ff8ebe42654849aad907b9db8660381c,2387b114-69fa-4cb7-92e5-bdc2451c1150
00bdff621eabd903e21e9672b1a07a4f2eefe36b,3f7605a7-7e53-4ff7-8895-42f09a5f4355
00bf50d2e149148eb4298b66a1d1792f8988fbfe,35b70977-7c87-4140-8eb7-b63988a12c83
00c6f59761a342c107520a0960979630e44cfbcc,f1ea2acf-ea92-4727-abc2-b707defad005
00d7def8445c25c3ad251a7c19a83f9f77c7bffc,db8b4563-d667-494e-b2e2-bc65c4faba39
00dd5ebbf782d965e26f2207b4140e67bb723206,ee29410d-3d58-4bcc-8304-b559af9d780a
00de4dcd2705b4992435e39416869e0cd41b9ef1,23a7982a-165f-44e8-9a67-5fa900791770
00eaa271ec9cbafa514a7f6bf49344db21992521,f44976b5-2cb9-402a-bc59-6a174239987b
