paper_id,ss_venue_id
000d250eef2202027daf94d2097b7a0ff86cac1e,0aed7a40-85f3-4c66-9e1b-c1556c57001b
000fb6b7af500f173430af41cf5f708723d7a199,89bf9929-721f-43ec-b044-fa22b8793903
0048c3d33744979ef4640a73ac6cf9f26bbd5e84,a0ff87cd-c507-4013-ab29-28078b0e5dae
00515e55956f4ebb44082aa1f381281da50670b8,3ae69221-0495-4fc0-9753-8052ee21d753
0057da81a3935353e3aeefd30483596a3c62de92,c27172da-75e6-4060-be54-4f335cd83183
005fba078431a64d8031df47363e72e7732cee59,59cba98c-bc0d-4e35-a8f5-9ee655ff400f
0082fafde436b334f673bc12185a4266bf475eb3,e5c67afa-351a-47ed-a4cf-e3b7f85847e8
008859985d3a746a65487620684694567eb33488,9b67bc53-08f9-4a98-9aa2-9d93990a60cc
00a69b427f9137eea7df12cf643d040493cf5089,25a655e4-17da-4bfc-a246-5cd20202068d
00ac0dc5615c87dab84f4e2943725d7ea795fccb,16d5502f-2c2b-4948-82c5-71b7b35342df
00aeeb11a8e6d7308e6251dec5f3b921406f61d9,0aed7a40-85f3-4c66-9e1b-c1556c57001b
00b0da0cca50af87bac25829870802df9eabe460,89bf9929-721f-43ec-b044-fa22b8793903
00c9a29087837024dc1ad12d4eaca5aed0a54c61,30931fa0-800b-4d7c-8ad5-f67035ce8fb7
00d95e0f76bbc0c46ba0bc60318b84cef6a73d44,d8cfd1a0-d8da-4623-af29-0da236626f84
00e05e53ee82282c5470b4b051f8767d01ceb8d5,ec3d15c7-77ef-481f-be13-f9a622bba56c
0117da912a8b030673a964a34ee274c19e939f6b,7917337a-5ba4-4bba-aeca-def885b1eaa1
01220a8874b159d4670909fb6236b3bbd4bdfc93,d8cfd1a0-d8da-4623-af29-0da236626f84
01410dbc484922e06ec2a19c1a2943ec3bf60954,3c8f4cec-a435-421a-b301-785e136e65e5
014808f6535efce3d24c614cb69c3946164b64c3,60a698a8-aea0-41b9-86bd-e979ded8bc8d
014840a61831a3bf5a715b83f37dcfdfd7d5bb3b,320dad07-fec1-4f9c-8ccf-c6c22642457f
01792af76c016053c06c9b4f044b19527b59f140,6ae462df-bc8a-44a7-a74d-c6e50a1a7ce9
019b04e052c97aa239e7460f875af9cdae4d36c8,80155cb6-cf84-41e2-a7a8-1cb9bc272dcd
01aaadf49b8a9415920479a88e577fbc50b2356d,b0a6943a-4d41-4ca4-af61-d5fcb98eb9f3
01c84e76a5e45bcf32150f0fc9c1dff8f5f0a337,0aed7a40-85f3-4c66-9e1b-c1556c57001b
01cf174de93a53adeb242321ca48f104a14d925a,2387b114-69fa-4cb7-92e5-bdc2451c1150
01f1da37483a3a9ef187ab00fb515a7ba870069c,6c24a0a0-b07d-4d7b-a19b-fd09a3ed453a
0219f2d3275d07719db66c159502b19684a637dc,5453a6ed-d781-4a05-84fa-07c9bd7df144
0234fa30bde11c632ffc741d3f385bf66606978f,52ee8f70-41d7-4479-a480-646299aafc28
