paperId,referenceId
00007ddd14541ae2756fcaf29c6a179aaf15b587,
00007ddd14541ae2756fcaf29c6a179aaf15b587,
00007ddd14541ae2756fcaf29c6a179aaf15b587,
00007ddd14541ae2756fcaf29c6a179aaf15b587,
00007ddd14541ae2756fcaf29c6a179aaf15b587,
00007ddd14541ae2756fcaf29c6a179aaf15b587,
00007ddd14541ae2756fcaf29c6a179aaf15b587,
00007ddd14541ae2756fcaf29c6a179aaf15b587,
00047d82dc7ef0bf50de0f6bce12441290abe9c3,32c0a49ab20e6d110827a926656f6cc62395324f
00047d82dc7ef0bf50de0f6bce12441290abe9c3,450e4e8b324d61c84a9bb9e5f52a61d2b2a19c26
00047d82dc7ef0bf50de0f6bce12441290abe9c3,a82e21d4f57e47d8243c482ba9b48c3060d86370
0006ff3558cf9b80fb21e2642807931376bf49c7,2c2df774a96084da296085d6a221fbb17476e5f1
0006ff3558cf9b80fb21e2642807931376bf49c7,1df056856facb3e96a36a951a76c2b7fb7991487
0006ff3558cf9b80fb21e2642807931376bf49c7,8a35777faef4dc2284ee663afa6ac60d11ba1a61
0006ff3558cf9b80fb21e2642807931376bf49c7,dd830e14107dd5047972ff654bc5de613638a32a
0006ff3558cf9b80fb21e2642807931376bf49c7,45b793b113ba1b95bf28c3938c9727432b0e3381
002a617a6dc36edd09138db5848720577429fd77,
002a617a6dc36edd09138db5848720577429fd77,
003a4df5646ef430c60fbf574c109ee362742862,f7b9aad6d90613b3d30091d76289fd1e2eed23f1
003a4df5646ef430c60fbf574c109ee362742862,2dd5dd7b93b1e75470f3b7f61def321049ced786
003a4df5646ef430c60fbf574c109ee362742862,c86e25b021ffaa50ce15bdd6898576fc5d2dbb6f
003a4df5646ef430c60fbf574c109ee362742862,
003a4df5646ef430c60fbf574c109ee362742862,
003a4df5646ef430c60fbf574c109ee362742862,
003a4df5646ef430c60fbf574c109ee362742862,
003a4df5646ef430c60fbf574c109ee362742862,
003a4df5646ef430c60fbf574c109ee362742862,
003a4df5646ef430c60fbf574c109ee362742862,
003b623c7b6181b5968b016b1fcf416504f8c4aa,8ec3a1fd17c3884908a4d9326b687e334d7b8800
003b623c7b6181b5968b016b1fcf416504f8c4aa,a27b2912720bca5152717e37cdc8f5cd6c663494
003b623c7b6181b5968b016b1fcf416504f8c4aa,50e3cd410a44b7a3d67c23e9d9b64ff0787e81d6
003b623c7b6181b5968b016b1fcf416504f8c4aa,02f184af109d3f8d8472c8e8d645870f30d63c0c
003b623c7b6181b5968b016b1fcf416504f8c4aa,44cad96f132a1cc682b4b22694c3d4010f29c535
003b623c7b6181b5968b016b1fcf416504f8c4aa,68171c469a6448c2df54cd52a32ee0c7f2c5e05c
003b623c7b6181b5968b016b1fcf416504f8c4aa,df76fc76e3453b769b441424ff24d76a9199ecaf
003b623c7b6181b5968b016b1fcf416504f8c4aa,98a7814fb0228bf0f49152a96975204c17d302a5
003b623c7b6181b5968b016b1fcf416504f8c4aa,6a849a3e1bf363629b20dc2f53acbdeb7351482d
003b623c7b6181b5968b016b1fcf416504f8c4aa,6ca736640d7eb03f08b6992b074b905e0084088c
003b623c7b6181b5968b016b1fcf416504f8c4aa,cc13341932350e1ea53ff52c71690aed6de08ba8
003b623c7b6181b5968b016b1fcf416504f8c4aa,
003b623c7b6181b5968b016b1fcf416504f8c4aa,
003b623c7b6181b5968b016b1fcf416504f8c4aa,629425ba32669d91cfdb29e7cb08414e694369c1
003b623c7b6181b5968b016b1fcf416504f8c4aa,c88d4f9081f64a2ccd68d8ba3335c78c69faf9d4
003b623c7b6181b5968b016b1fcf416504f8c4aa,90e0602c589cf2e48cbc3e6bea8af8d67e1226e2
003b623c7b6181b5968b016b1fcf416504f8c4aa,
003b623c7b6181b5968b016b1fcf416504f8c4aa,
003b623c7b6181b5968b016b1fcf416504f8c4aa,a3075c2fc96dd5f5d4a07771c4eaa537e4cbba88
003b623c7b6181b5968b016b1fcf416504f8c4aa,
003b623c7b6181b5968b016b1fcf416504f8c4aa,6bc19905ea4a54cbcd44a71a861479f787bd878d
003b623c7b6181b5968b016b1fcf416504f8c4aa,9ef24fbc071c982750b25bb2c9da3bcdb12a0127
003b623c7b6181b5968b016b1fcf416504f8c4aa,
003b623c7b6181b5968b016b1fcf416504f8c4aa,4b18587407dc074453d6ab989c9701d36eb2bb81
003b623c7b6181b5968b016b1fcf416504f8c4aa,
003b623c7b6181b5968b016b1fcf416504f8c4aa,
003b623c7b6181b5968b016b1fcf416504f8c4aa,
003b623c7b6181b5968b016b1fcf416504f8c4aa,
003b623c7b6181b5968b016b1fcf416504f8c4aa,eafc1dcf417486da66493225165792887daae687
